Año;Mes;Mes_txt;PLANTACION;NumInsectos;PromInsectosFlor;PromInsectosHa
2018;1;Ene;Palmawasi;512099;11.4;55.91
2018;2;Feb;Palmawasi;550568;10.1;52.41
2018;3;Mar;Palmawasi;492468;10.29;51.22
2018;4;Abr;Palmawasi;487876;10.05;56.25
2018;5;May;Palmawasi;579719;10.35;69.26
2018;6;jun;Palmawasi;542869;9.41;55.99
2018;7;Jul;Palmawasi;598142;9.18;63.22
2018;8;Ago;Palmawasi;614136;6.21;35.09
2018;9;Sep;Palmawasi;541185;9.95;65.95
2018;10;Oct;Palmawasi;578303;9.76;60.93
2018;11;Nov;Palmawasi;558501;9.56;60.31
2018;12;Dic;Palmawasi;478580;8.09;43.66
2019;1;Ene;Palmawasi;331565;6.25;33.52
2019;2;Feb;Palmawasi;389652;7.48;46.55
2019;3;Mar;Palmawasi;423496;6.55;42.22
2019;4;Abr;Palmawasi;389206;7.62;48.25
2019;5;May;Palmawasi;436257;8.45;61.79
2019;6;jun;Palmawasi;489606;8.74;70.42
2019;7;Jul;Palmawasi;587365;8.65;63.57
2019;8;Ago;Palmawasi;433558;7.44;49.02
2019;9;Sep;Palmawasi;383313;6.98;42.92
2019;10;Oct;Palmawasi;429554;7.71;49.22
2019;11;Nov;Palmawasi;480928;7.85;46.34
2019;12;Dic;Palmawasi;442688;7.59;41.25
2020;1;Ene;Palmawasi;423707;7.87;34.76
2020;2;Feb;Palmawasi;422736;7.56;45.87
2020;3;Mar;Palmawasi;589951;8.28;60.09
2020;4;Abr;Palmawasi;545583;7.38;49.11
2020;5;May;Palmawasi;560781;7.3;45.67
2020;6;jun;Palmawasi;675311;7.49;68
2020;7;Jul;Palmawasi;587340;7.39;60.88
2020;8;Ago;Palmawasi;536166;6.63;43.74
2020;9;Sep;Palmawasi;609247;6.91;64.88
2020;10;Oct;Palmawasi;577403;6.76;67.48
2020;11;Nov;Palmawasi;516874;6.73;64.34
2020;12;Dic;Palmawasi;547856;6.46;56.53
2021;1;Ene;Palmawasi;561963;7.23;69.52
2021;2;Feb;Palmawasi;635876;7.48;68.45
2021;3;Mar;Palmawasi;653292;7.74;69.24
2021;4;Abr;Palmawasi;724529;7.49;75.08
2021;5;May;Palmawasi;695953;7.32;76.49
2021;6;jun;Palmawasi;562104;6.28;64.03
2021;7;Jul;Palmawasi;621322;7.15;76.71
2021;8;Ago;Palmawasi;574012;6.9;74.22
2021;9;Sep;Palmawasi;493043;8.21;89.37
2021;10;Oct;Palmawasi;606140;7.85;82.79
2021;11;Nov;Palmawasi;585674;7.67;71.51
2021;12;Dic;Palmawasi;620064;9.17;80.4
2022;1;Ene;Palmawasi;616687;9.66;69.09
2022;2;Feb;Palmawasi;570682;8.36;62.09
2022;3;Mar;Palmawasi;618502;8.4;68.68
2022;4;Abr;Palmawasi;611866;8.93;70.29
2022;5;May;Palmawasi;674962;9.58;78.86
2022;6;jun;Palmawasi;292393;9.88;64.84
2022;7;Jul;Palmawasi;629841;9.81;67.11
2022;8;Ago;Palmawasi;572108;9.29;69.38
2022;9;Sep;Palmawasi;619034;11.52;90.3
2022;10;Oct;Palmawasi;591084;9.16;62.64
2022;11;Nov;Palmawasi;571125;8.88;57.49
2022;12;Dic;Palmawasi;583408;10.36;71.92
2023;1;Ene;Palmawasi;557095;10.25;67.83
2023;2;Feb;Palmawasi;605125;9.56;70.07
2023;3;Mar;Palmawasi;628560;9.47;79.24
2023;4;Abr;Palmawasi;641517;9.19;98.81
2023;5;May;Palmawasi;652456;9.18;89.8
2023;6;jun;Palmawasi;634582;8.71;73.5
2023;7;Jul;Palmawasi;618118;8.85;73.13
2023;8;Ago;Palmawasi;548929;8.8;54.62
2023;9;Sep;Palmawasi;454317;9.75;52.57
2023;10;Oct;Palmawasi;521786;9.25;61.56
2023;11;Nov;Palmawasi;506850;8.53;57.72
2023;12;Dic;Palmawasi;586658;9.19;59.67
2024;1;Ene;Palmawasi;567773;8.85;55.65
2024;2;Feb;Palmawasi;645588;9.39;76.33
2024;3;Mar;Palmawasi;695260;9.1;93
2024;4;Abr;Palmawasi;748195;9.45;130.36
2024;5;May;Palmawasi;671081;8.97;105.21
2024;6;jun;Palmawasi;363805;9.59;105.95
